Bins,better,Far,Min_size,Max,Dist,Rest
4,bdom,0.65,0.5,100,3.0,4
4,bdom,0.65,0.5,100,3.0,5
4,bdom,0.65,0.5,100,3.0,6
4,bdom,0.65,0.5,100,3.5,2
4,bdom,0.65,0.5,100,3.5,3
4,bdom,0.65,0.5,100,3.5,4
4,bdom,0.65,0.5,100,3.5,5
4,bdom,0.65,0.5,100,3.5,6
4,bdom,0.65,0.5,100,4.0,2
4,bdom,0.65,0.5,100,4.0,3
4,bdom,0.65,0.5,100,4.0,4
4,bdom,0.65,0.5,100,4.0,5
4,bdom,0.65,0.5,100,4.0,6
4,bdom,0.65,0.5,100,4.5,2
4,bdom,0.65,0.5,100,4.5,3
4,bdom,0.65,0.5,100,4.5,4
4,bdom,0.65,0.5,100,4.5,5
4,bdom,0.65,0.5,100,4.5,6
4,bdom,0.65,0.5,600,0.5,2
4,bdom,0.65,0.5,600,0.5,3
4,bdom,0.65,0.5,600,0.5,4
4,bdom,0.65,0.5,600,0.5,5
4,bdom,0.65,0.5,600,0.5,6
4,bdom,0.65,0.5,600,1.0,2
4,bdom,0.65,0.5,600,1.0,3
4,bdom,0.65,0.5,600,1.0,4
4,bdom,0.65,0.5,600,1.0,5
4,bdom,0.65,0.5,600,1.0,6
4,bdom,0.65,0.5,600,1.5,2
4,bdom,0.65,0.5,600,1.5,3
4,bdom,0.65,0.5,600,1.5,4
4,bdom,0.65,0.5,600,1.5,5
4,bdom,0.65,0.5,600,1.5,6
4,bdom,0.65,0.5,600,2.0,2
4,bdom,0.65,0.5,600,2.0,3
4,bdom,0.65,0.5,600,2.0,4
4,bdom,0.65,0.5,600,2.0,5
4,bdom,0.65,0.5,600,2.0,6
4,bdom,0.65,0.5,600,2.5,2
4,bdom,0.65,0.5,600,2.5,3
4,bdom,0.65,0.5,600,2.5,4
4,bdom,0.65,0.5,600,2.5,5
4,bdom,0.65,0.5,600,2.5,6
4,bdom,0.65,0.5,600,3.0,2
4,bdom,0.65,0.5,600,3.0,3
4,bdom,0.65,0.5,600,3.0,4
4,bdom,0.65,0.5,600,3.0,5
4,bdom,0.65,0.5,600,3.0,6
4,bdom,0.65,0.5,600,3.5,2
4,bdom,0.65,0.5,600,3.5,3
4,bdom,0.65,0.5,600,3.5,4
4,bdom,0.65,0.5,600,3.5,5
4,bdom,0.65,0.5,600,3.5,6
4,bdom,0.65,0.5,600,4.0,2
4,bdom,0.65,0.5,600,4.0,3
4,bdom,0.65,0.5,600,4.0,4
4,bdom,0.65,0.5,600,4.0,5
4,bdom,0.65,0.5,600,4.0,6
4,bdom,0.65,0.5,600,4.5,2
4,bdom,0.65,0.5,600,4.5,3
4,bdom,0.65,0.5,600,4.5,4
4,bdom,0.65,0.5,600,4.5,5
4,bdom,0.65,0.5,600,4.5,6
4,bdom,0.65,0.5,1100,0.5,2
4,bdom,0.65,0.5,1100,0.5,3
4,bdom,0.65,0.5,1100,0.5,4
4,bdom,0.65,0.5,1100,0.5,5
4,bdom,0.65,0.5,1100,0.5,6
4,bdom,0.65,0.5,1100,1.0,2
4,bdom,0.65,0.5,1100,1.0,3
4,bdom,0.65,0.5,1100,1.0,4
4,bdom,0.65,0.5,1100,1.0,5
4,bdom,0.65,0.5,1100,1.0,6
4,bdom,0.65,0.5,1100,1.5,2
4,bdom,0.65,0.5,1100,1.5,3
4,bdom,0.65,0.5,1100,1.5,4
4,bdom,0.65,0.5,1100,1.5,5
4,bdom,0.65,0.5,1100,1.5,6
4,bdom,0.65,0.5,1100,2.0,2
4,bdom,0.65,0.5,1100,2.0,3
4,bdom,0.65,0.5,1100,2.0,4
4,bdom,0.65,0.5,1100,2.0,5
4,bdom,0.65,0.5,1100,2.0,6
4,bdom,0.65,0.5,1100,2.5,2
4,bdom,0.65,0.5,1100,2.5,3
4,bdom,0.65,0.5,1100,2.5,4
4,bdom,0.65,0.5,1100,2.5,5
4,bdom,0.65,0.5,1100,2.5,6
4,bdom,0.65,0.5,1100,3.0,2
4,bdom,0.65,0.5,1100,3.0,3
4,bdom,0.65,0.5,1100,3.0,4
4,bdom,0.65,0.5,1100,3.0,5
4,bdom,0.65,0.5,1100,3.0,6
4,bdom,0.65,0.5,1100,3.5,2
4,bdom,0.65,0.5,1100,3.5,3
4,bdom,0.65,0.5,1100,3.5,4
4,bdom,0.65,0.5,1100,3.5,5
4,bdom,0.65,0.5,1100,3.5,6
4,bdom,0.65,0.5,1100,4.0,2
4,bdom,0.65,0.5,1100,4.0,3
4,bdom,0.65,0.5,1100,4.0,4
4,bdom,0.65,0.5,1100,4.0,5
4,bdom,0.65,0.5,1100,4.0,6
4,bdom,0.65,0.5,1100,4.5,2
4,bdom,0.65,0.5,1100,4.5,3
4,bdom,0.65,0.5,1100,4.5,4
4,bdom,0.65,0.5,1100,4.5,5
4,bdom,0.65,0.5,1100,4.5,6
4,bdom,0.65,0.5,1600,0.5,2
4,bdom,0.65,0.5,1600,0.5,3
4,bdom,0.65,0.5,1600,0.5,4
4,bdom,0.65,0.5,1600,0.5,5
4,bdom,0.65,0.5,1600,0.5,6
4,bdom,0.65,0.5,1600,1.0,2
4,bdom,0.65,0.5,1600,1.0,3
4,bdom,0.65,0.5,1600,1.0,4
4,bdom,0.65,0.5,1600,1.0,5
4,bdom,0.65,0.5,1600,1.0,6
4,bdom,0.65,0.5,1600,1.5,2
4,bdom,0.65,0.5,1600,1.5,3
4,bdom,0.65,0.5,1600,1.5,4
4,bdom,0.65,0.5,1600,1.5,5
4,bdom,0.65,0.5,1600,1.5,6
4,bdom,0.65,0.5,1600,2.0,2
4,bdom,0.65,0.5,1600,2.0,3
4,bdom,0.65,0.5,1600,2.0,4
4,bdom,0.65,0.5,1600,2.0,5
4,bdom,0.65,0.5,1600,2.0,6
4,bdom,0.65,0.5,1600,2.5,2
4,bdom,0.65,0.5,1600,2.5,3
4,bdom,0.65,0.5,1600,2.5,4
4,bdom,0.65,0.5,1600,2.5,5
4,bdom,0.65,0.5,1600,2.5,6
4,bdom,0.65,0.5,1600,3.0,2
4,bdom,0.65,0.5,1600,3.0,3
4,bdom,0.65,0.5,1600,3.0,4
4,bdom,0.65,0.5,1600,3.0,5
4,bdom,0.65,0.5,1600,3.0,6
4,bdom,0.65,0.5,1600,3.5,2
4,bdom,0.65,0.5,1600,3.5,3
4,bdom,0.65,0.5,1600,3.5,4
4,bdom,0.65,0.5,1600,3.5,5
4,bdom,0.65,0.5,1600,3.5,6
4,bdom,0.65,0.5,1600,4.0,2
4,bdom,0.65,0.5,1600,4.0,3
4,bdom,0.65,0.5,1600,4.0,4
4,bdom,0.65,0.5,1600,4.0,5
4,bdom,0.65,0.5,1600,4.0,6
4,bdom,0.65,0.5,1600,4.5,2
4,bdom,0.65,0.5,1600,4.5,3
4,bdom,0.65,0.5,1600,4.5,4
4,bdom,0.65,0.5,1600,4.5,5
4,bdom,0.65,0.5,1600,4.5,6
4,bdom,0.65,0.5,2100,0.5,2
4,bdom,0.65,0.5,2100,0.5,3
4,bdom,0.65,0.5,2100,0.5,4
4,bdom,0.65,0.5,2100,0.5,5
4,bdom,0.65,0.5,2100,0.5,6
4,bdom,0.65,0.5,2100,1.0,2
4,bdom,0.65,0.5,2100,1.0,3
4,bdom,0.65,0.5,2100,1.0,4
4,bdom,0.65,0.5,2100,1.0,5
4,bdom,0.65,0.5,2100,1.0,6
4,bdom,0.65,0.5,2100,1.5,2
4,bdom,0.65,0.5,2100,1.5,3
4,bdom,0.65,0.5,2100,1.5,4
4,bdom,0.65,0.5,2100,1.5,5
4,bdom,0.65,0.5,2100,1.5,6
4,bdom,0.65,0.5,2100,2.0,2
4,bdom,0.65,0.5,2100,2.0,3
4,bdom,0.65,0.5,2100,2.0,4
4,bdom,0.65,0.5,2100,2.0,5
4,bdom,0.65,0.5,2100,2.0,6
4,bdom,0.65,0.5,2100,2.5,2
4,bdom,0.65,0.5,2100,2.5,3
4,bdom,0.65,0.5,2100,2.5,4
4,bdom,0.65,0.5,2100,2.5,5
4,bdom,0.65,0.5,2100,2.5,6
4,bdom,0.65,0.5,2100,3.0,2
4,bdom,0.65,0.5,2100,3.0,3
4,bdom,0.65,0.5,2100,3.0,4
4,bdom,0.65,0.5,2100,3.0,5
4,bdom,0.65,0.5,2100,3.0,6
4,bdom,0.65,0.5,2100,3.5,2
4,bdom,0.65,0.5,2100,3.5,3
4,bdom,0.65,0.5,2100,3.5,4
4,bdom,0.65,0.5,2100,3.5,5
4,bdom,0.65,0.5,2100,3.5,6
4,bdom,0.65,0.5,2100,4.0,2
4,bdom,0.65,0.5,2100,4.0,3
4,bdom,0.65,0.5,2100,4.0,4
4,bdom,0.65,0.5,2100,4.0,5
4,bdom,0.65,0.5,2100,4.0,6
4,bdom,0.65,0.5,2100,4.5,2
4,bdom,0.65,0.5,2100,4.5,3
4,bdom,0.65,0.5,2100,4.5,4
4,bdom,0.65,0.5,2100,4.5,5
4,bdom,0.65,0.5,2100,4.5,6
4,bdom,0.65,0.5,2600,0.5,2
4,bdom,0.65,0.5,2600,0.5,3
4,bdom,0.65,0.5,2600,0.5,4
4,bdom,0.65,0.5,2600,0.5,5
4,bdom,0.65,0.5,2600,0.5,6
4,bdom,0.65,0.5,2600,1.0,2
4,bdom,0.65,0.5,2600,1.0,3
4,bdom,0.65,0.5,2600,1.0,4
4,bdom,0.65,0.5,2600,1.0,5
4,bdom,0.65,0.5,2600,1.0,6
4,bdom,0.65,0.5,2600,1.5,2
4,bdom,0.65,0.5,2600,1.5,3
4,bdom,0.65,0.5,2600,1.5,4
4,bdom,0.65,0.5,2600,1.5,5
4,bdom,0.65,0.5,2600,1.5,6
4,bdom,0.65,0.5,2600,2.0,2
4,bdom,0.65,0.5,2600,2.0,3
4,bdom,0.65,0.5,2600,2.0,4
4,bdom,0.65,0.5,2600,2.0,5
4,bdom,0.65,0.5,2600,2.0,6
4,bdom,0.65,0.5,2600,2.5,2
4,bdom,0.65,0.5,2600,2.5,3
4,bdom,0.65,0.5,2600,2.5,4
4,bdom,0.65,0.5,2600,2.5,5
4,bdom,0.65,0.5,2600,2.5,6
4,bdom,0.65,0.5,2600,3.0,2
4,bdom,0.65,0.5,2600,3.0,3
4,bdom,0.65,0.5,2600,3.0,4
4,bdom,0.65,0.5,2600,3.0,5
4,bdom,0.65,0.5,2600,3.0,6
4,bdom,0.65,0.5,2600,3.5,2
4,bdom,0.65,0.5,2600,3.5,3
4,bdom,0.65,0.5,2600,3.5,4
4,bdom,0.65,0.5,2600,3.5,5
4,bdom,0.65,0.5,2600,3.5,6
4,bdom,0.65,0.5,2600,4.0,2
4,bdom,0.65,0.5,2600,4.0,3
4,bdom,0.65,0.5,2600,4.0,4
4,bdom,0.65,0.5,2600,4.0,5
4,bdom,0.65,0.5,2600,4.0,6
4,bdom,0.65,0.5,2600,4.5,2
4,bdom,0.65,0.5,2600,4.5,3
4,bdom,0.65,0.5,2600,4.5,4
4,bdom,0.65,0.5,2600,4.5,5
4,bdom,0.65,0.5,2600,4.5,6
4,bdom,0.69,0.5,100,0.5,2
4,bdom,0.69,0.5,100,0.5,3
4,bdom,0.69,0.5,100,0.5,4
4,bdom,0.69,0.5,100,0.5,5
4,bdom,0.69,0.5,100,0.5,6
4,bdom,0.69,0.5,100,1.0,2
4,bdom,0.69,0.5,100,1.0,3
4,bdom,0.69,0.5,100,1.0,4
4,bdom,0.69,0.5,100,1.0,5
4,bdom,0.69,0.5,100,1.0,6
4,bdom,0.69,0.5,100,1.5,2
4,bdom,0.69,0.5,100,1.5,3
4,bdom,0.69,0.5,100,1.5,4
4,bdom,0.69,0.5,100,1.5,5
4,bdom,0.69,0.5,100,1.5,6
4,bdom,0.69,0.5,100,2.0,2
4,bdom,0.69,0.5,100,2.0,3
4,bdom,0.69,0.5,100,2.0,4
4,bdom,0.69,0.5,100,2.0,5
4,bdom,0.69,0.5,100,2.0,6
4,bdom,0.69,0.5,100,2.5,2
4,bdom,0.69,0.5,100,2.5,3
4,bdom,0.69,0.5,100,2.5,4
4,bdom,0.69,0.5,100,2.5,5
4,bdom,0.69,0.5,100,2.5,6
4,bdom,0.69,0.5,100,3.0,2
4,bdom,0.69,0.5,100,3.0,3
4,bdom,0.69,0.5,100,3.0,4
4,bdom,0.69,0.5,100,3.0,5
4,bdom,0.69,0.5,100,3.0,6
4,bdom,0.69,0.5,100,3.5,2
4,bdom,0.69,0.5,100,3.5,3
4,bdom,0.69,0.5,100,3.5,4
4,bdom,0.69,0.5,100,3.5,5
4,bdom,0.69,0.5,100,3.5,6
4,bdom,0.69,0.5,100,4.0,2
4,bdom,0.69,0.5,100,4.0,3
4,bdom,0.69,0.5,100,4.0,4
4,bdom,0.69,0.5,100,4.0,5
4,bdom,0.69,0.5,100,4.0,6
4,bdom,0.69,0.5,100,4.5,2
4,bdom,0.69,0.5,100,4.5,3
4,bdom,0.69,0.5,100,4.5,4
4,bdom,0.69,0.5,100,4.5,5
4,bdom,0.69,0.5,100,4.5,6
4,bdom,0.69,0.5,600,0.5,2
4,bdom,0.69,0.5,600,0.5,3
4,bdom,0.69,0.5,600,0.5,4
4,bdom,0.69,0.5,600,0.5,5
4,bdom,0.69,0.5,600,0.5,6
4,bdom,0.69,0.5,600,1.0,2
4,bdom,0.69,0.5,600,1.0,3
4,bdom,0.69,0.5,600,1.0,4
4,bdom,0.69,0.5,600,1.0,5
4,bdom,0.69,0.5,600,1.0,6
4,bdom,0.69,0.5,600,1.5,2
4,bdom,0.69,0.5,600,1.5,3
4,bdom,0.69,0.5,600,1.5,4
4,bdom,0.69,0.5,600,1.5,5
4,bdom,0.69,0.5,600,1.5,6
4,bdom,0.69,0.5,600,2.0,2
4,bdom,0.69,0.5,600,2.0,3
4,bdom,0.69,0.5,600,2.0,4
4,bdom,0.69,0.5,600,2.0,5
4,bdom,0.69,0.5,600,2.0,6
4,bdom,0.69,0.5,600,2.5,2
4,bdom,0.69,0.5,600,2.5,3
4,bdom,0.69,0.5,600,2.5,4
4,bdom,0.69,0.5,600,2.5,5
4,bdom,0.69,0.5,600,2.5,6
4,bdom,0.69,0.5,600,3.0,2
4,bdom,0.69,0.5,600,3.0,3
4,bdom,0.69,0.5,600,3.0,4
4,bdom,0.69,0.5,600,3.0,5
4,bdom,0.69,0.5,600,3.0,6
4,bdom,0.69,0.5,600,3.5,2
4,bdom,0.69,0.5,600,3.5,3
4,bdom,0.69,0.5,600,3.5,4
4,bdom,0.69,0.5,600,3.5,5
4,bdom,0.69,0.5,600,3.5,6
4,bdom,0.69,0.5,600,4.0,2
4,bdom,0.69,0.5,600,4.0,3
4,bdom,0.69,0.5,600,4.0,4
4,bdom,0.69,0.5,600,4.0,5
4,bdom,0.69,0.5,600,4.0,6
4,bdom,0.69,0.5,600,4.5,2
4,bdom,0.69,0.5,600,4.5,3
4,bdom,0.69,0.5,600,4.5,4
4,bdom,0.69,0.5,600,4.5,5
4,bdom,0.69,0.5,600,4.5,6
4,bdom,0.69,0.5,1100,0.5,2
4,bdom,0.69,0.5,1100,0.5,3
4,bdom,0.69,0.5,1100,0.5,4
4,bdom,0.69,0.5,1100,0.5,5
4,bdom,0.69,0.5,1100,0.5,6
4,bdom,0.69,0.5,1100,1.0,2
4,bdom,0.69,0.5,1100,1.0,3
4,bdom,0.69,0.5,1100,1.0,4
4,bdom,0.69,0.5,1100,1.0,5
4,bdom,0.69,0.5,1100,1.0,6
4,bdom,0.69,0.5,1100,1.5,2
4,bdom,0.69,0.5,1100,1.5,3
4,bdom,0.69,0.5,1100,1.5,4
4,bdom,0.69,0.5,1100,1.5,5
4,bdom,0.69,0.5,1100,1.5,6
4,bdom,0.69,0.5,1100,2.0,2
4,bdom,0.69,0.5,1100,2.0,3
4,bdom,0.69,0.5,1100,2.0,4
4,bdom,0.69,0.5,1100,2.0,5
4,bdom,0.69,0.5,1100,2.0,6
4,bdom,0.69,0.5,1100,2.5,2
4,bdom,0.69,0.5,1100,2.5,3
4,bdom,0.69,0.5,1100,2.5,4
4,bdom,0.69,0.5,1100,2.5,5
4,bdom,0.69,0.5,1100,2.5,6
4,bdom,0.69,0.5,1100,3.0,2
4,bdom,0.69,0.5,1100,3.0,3
4,bdom,0.69,0.5,1100,3.0,4
4,bdom,0.69,0.5,1100,3.0,5
4,bdom,0.69,0.5,1100,3.0,6
4,bdom,0.69,0.5,1100,3.5,2
4,bdom,0.69,0.5,1100,3.5,3
4,bdom,0.69,0.5,1100,3.5,4
4,bdom,0.69,0.5,1100,3.5,5
4,bdom,0.69,0.5,1100,3.5,6
4,bdom,0.69,0.5,1100,4.0,2
4,bdom,0.69,0.5,1100,4.0,3
4,bdom,0.69,0.5,1100,4.0,4
4,bdom,0.69,0.5,1100,4.0,5
4,bdom,0.69,0.5,1100,4.0,6
4,bdom,0.69,0.5,1100,4.5,2
4,bdom,0.69,0.5,1100,4.5,3
4,bdom,0.69,0.5,1100,4.5,4
4,bdom,0.69,0.5,1100,4.5,5
4,bdom,0.69,0.5,1100,4.5,6
4,bdom,0.69,0.5,1600,0.5,2
4,bdom,0.69,0.5,1600,0.5,3
4,bdom,0.69,0.5,1600,0.5,4
4,bdom,0.69,0.5,1600,0.5,5
4,bdom,0.69,0.5,1600,0.5,6
4,bdom,0.69,0.5,1600,1.0,2
4,bdom,0.69,0.5,1600,1.0,3
4,bdom,0.69,0.5,1600,1.0,4
4,bdom,0.69,0.5,1600,1.0,5
4,bdom,0.69,0.5,1600,1.0,6
4,bdom,0.69,0.5,1600,1.5,2
4,bdom,0.69,0.5,1600,1.5,3
4,bdom,0.69,0.5,1600,1.5,4
4,bdom,0.69,0.5,1600,1.5,5
4,bdom,0.69,0.5,1600,1.5,6
4,bdom,0.69,0.5,1600,2.0,2
4,bdom,0.69,0.5,1600,2.0,3
4,bdom,0.69,0.5,1600,2.0,4
4,bdom,0.69,0.5,1600,2.0,5
4,bdom,0.69,0.5,1600,2.0,6
4,bdom,0.69,0.5,1600,2.5,2
4,bdom,0.69,0.5,1600,2.5,3
4,bdom,0.69,0.5,1600,2.5,4
4,bdom,0.69,0.5,1600,2.5,5
4,bdom,0.69,0.5,1600,2.5,6
4,bdom,0.69,0.5,1600,3.0,2
4,bdom,0.69,0.5,1600,3.0,3
4,bdom,0.69,0.5,1600,3.0,4
4,bdom,0.69,0.5,1600,3.0,5
4,bdom,0.69,0.5,1600,3.0,6
4,bdom,0.69,0.5,1600,3.5,2
4,bdom,0.69,0.5,1600,3.5,3
4,bdom,0.69,0.5,1600,3.5,4
4,bdom,0.69,0.5,1600,3.5,5
4,bdom,0.69,0.5,1600,3.5,6
4,bdom,0.69,0.5,1600,4.0,2
4,bdom,0.69,0.5,1600,4.0,3
4,bdom,0.69,0.5,1600,4.0,4
4,bdom,0.69,0.5,1600,4.0,5
4,bdom,0.69,0.5,1600,4.0,6
4,bdom,0.69,0.5,1600,4.5,2
4,bdom,0.69,0.5,1600,4.5,3
4,bdom,0.69,0.5,1600,4.5,4
4,bdom,0.69,0.5,1600,4.5,5
4,bdom,0.69,0.5,1600,4.5,6
4,bdom,0.69,0.5,2100,0.5,2
4,bdom,0.69,0.5,2100,0.5,3
4,bdom,0.69,0.5,2100,0.5,4
4,bdom,0.69,0.5,2100,0.5,5
4,bdom,0.69,0.5,2100,0.5,6
4,bdom,0.69,0.5,2100,1.0,2
4,bdom,0.69,0.5,2100,1.0,3
4,bdom,0.69,0.5,2100,1.0,4
4,bdom,0.69,0.5,2100,1.0,5
4,bdom,0.69,0.5,2100,1.0,6
4,bdom,0.69,0.5,2100,1.5,2
4,bdom,0.69,0.5,2100,1.5,3
4,bdom,0.69,0.5,2100,1.5,4
4,bdom,0.69,0.5,2100,1.5,5
4,bdom,0.69,0.5,2100,1.5,6
4,bdom,0.69,0.5,2100,2.0,2
4,bdom,0.69,0.5,2100,2.0,3
4,bdom,0.69,0.5,2100,2.0,4
4,bdom,0.69,0.5,2100,2.0,5
4,bdom,0.69,0.5,2100,2.0,6
4,bdom,0.69,0.5,2100,2.5,2
4,bdom,0.69,0.5,2100,2.5,3
4,bdom,0.69,0.5,2100,2.5,4
4,bdom,0.69,0.5,2100,2.5,5
4,bdom,0.69,0.5,2100,2.5,6
4,bdom,0.69,0.5,2100,3.0,2
4,bdom,0.69,0.5,2100,3.0,3
4,bdom,0.69,0.5,2100,3.0,4
4,bdom,0.69,0.5,2100,3.0,5
4,bdom,0.69,0.5,2100,3.0,6
4,bdom,0.69,0.5,2100,3.5,2
4,bdom,0.69,0.5,2100,3.5,3
4,bdom,0.69,0.5,2100,3.5,4
4,bdom,0.69,0.5,2100,3.5,5
4,bdom,0.69,0.5,2100,3.5,6
4,bdom,0.69,0.5,2100,4.0,2
4,bdom,0.69,0.5,2100,4.0,3
4,bdom,0.69,0.5,2100,4.0,4
4,bdom,0.69,0.5,2100,4.0,5
4,bdom,0.69,0.5,2100,4.0,6
4,bdom,0.69,0.5,2100,4.5,2
4,bdom,0.69,0.5,2100,4.5,3
4,bdom,0.69,0.5,2100,4.5,4
4,bdom,0.69,0.5,2100,4.5,5
4,bdom,0.69,0.5,2100,4.5,6
4,bdom,0.69,0.5,2600,0.5,2
4,bdom,0.69,0.5,2600,0.5,3
4,bdom,0.69,0.5,2600,0.5,4
4,bdom,0.69,0.5,2600,0.5,5
4,bdom,0.69,0.5,2600,0.5,6
4,bdom,0.69,0.5,2600,1.0,2
4,bdom,0.69,0.5,2600,1.0,3
4,bdom,0.69,0.5,2600,1.0,4
4,bdom,0.69,0.5,2600,1.0,5
4,bdom,0.69,0.5,2600,1.0,6
4,bdom,0.69,0.5,2600,1.5,2
4,bdom,0.69,0.5,2600,1.5,3
4,bdom,0.69,0.5,2600,1.5,4
4,bdom,0.69,0.5,2600,1.5,5
4,bdom,0.69,0.5,2600,1.5,6
4,bdom,0.69,0.5,2600,2.0,2
4,bdom,0.69,0.5,2600,2.0,3
4,bdom,0.69,0.5,2600,2.0,4
4,bdom,0.69,0.5,2600,2.0,5
4,bdom,0.69,0.5,2600,2.0,6
4,bdom,0.69,0.5,2600,2.5,2
4,bdom,0.69,0.5,2600,2.5,3
4,bdom,0.69,0.5,2600,2.5,4
4,bdom,0.69,0.5,2600,2.5,5
4,bdom,0.69,0.5,2600,2.5,6
4,bdom,0.69,0.5,2600,3.0,2
4,bdom,0.69,0.5,2600,3.0,3
4,bdom,0.69,0.5,2600,3.0,4
4,bdom,0.69,0.5,2600,3.0,5
4,bdom,0.69,0.5,2600,3.0,6
4,bdom,0.69,0.5,2600,3.5,2
4,bdom,0.69,0.5,2600,3.5,3
4,bdom,0.69,0.5,2600,3.5,4
4,bdom,0.69,0.5,2600,3.5,5
4,bdom,0.69,0.5,2600,3.5,6
4,bdom,0.69,0.5,2600,4.0,2
4,bdom,0.69,0.5,2600,4.0,3
4,bdom,0.69,0.5,2600,4.0,4
4,bdom,0.69,0.5,2600,4.0,5
4,bdom,0.69,0.5,2600,4.0,6
4,bdom,0.69,0.5,2600,4.5,2
4,bdom,0.69,0.5,2600,4.5,3
4,bdom,0.69,0.5,2600,4.5,4
4,bdom,0.69,0.5,2600,4.5,5
4,bdom,0.69,0.5,2600,4.5,6
4,bdom,0.73,0.5,100,0.5,2
4,bdom,0.73,0.5,100,0.5,3
4,bdom,0.73,0.5,100,0.5,4
4,bdom,0.73,0.5,100,0.5,5
4,bdom,0.73,0.5,100,0.5,6
4,bdom,0.73,0.5,100,1.0,2
4,bdom,0.73,0.5,100,1.0,3
4,bdom,0.73,0.5,100,1.0,4
4,bdom,0.73,0.5,100,1.0,5
4,bdom,0.73,0.5,100,1.0,6
4,bdom,0.73,0.5,100,1.5,2
4,bdom,0.73,0.5,100,1.5,3
4,bdom,0.73,0.5,100,1.5,4
4,bdom,0.73,0.5,100,1.5,5
4,bdom,0.73,0.5,100,1.5,6
4,bdom,0.73,0.5,100,2.0,2
4,bdom,0.73,0.5,100,2.0,3
4,bdom,0.73,0.5,100,2.0,4
4,bdom,0.73,0.5,100,2.0,5
4,bdom,0.73,0.5,100,2.0,6
4,bdom,0.73,0.5,100,2.5,2
4,bdom,0.73,0.5,100,2.5,3
4,bdom,0.73,0.5,100,2.5,4
4,bdom,0.73,0.5,100,2.5,5
4,bdom,0.73,0.5,100,2.5,6
4,bdom,0.73,0.5,100,3.0,2
4,bdom,0.73,0.5,100,3.0,3
4,bdom,0.73,0.5,100,3.0,4
4,bdom,0.73,0.5,100,3.0,5
4,bdom,0.73,0.5,100,3.0,6
4,bdom,0.73,0.5,100,3.5,2
4,bdom,0.73,0.5,100,3.5,3
4,bdom,0.73,0.5,100,3.5,4
4,bdom,0.73,0.5,100,3.5,5
4,bdom,0.73,0.5,100,3.5,6
4,bdom,0.73,0.5,100,4.0,2
4,bdom,0.73,0.5,100,4.0,3
4,bdom,0.73,0.5,100,4.0,4
4,bdom,0.73,0.5,100,4.0,5
4,bdom,0.73,0.5,100,4.0,6
4,bdom,0.73,0.5,100,4.5,2
4,bdom,0.73,0.5,100,4.5,3
4,bdom,0.73,0.5,100,4.5,4
4,bdom,0.73,0.5,100,4.5,5
4,bdom,0.73,0.5,100,4.5,6
4,bdom,0.73,0.5,600,0.5,2
4,bdom,0.73,0.5,600,0.5,3
4,bdom,0.73,0.5,600,0.5,4
4,bdom,0.73,0.5,600,0.5,5
4,bdom,0.73,0.5,600,0.5,6
4,bdom,0.73,0.5,600,1.0,2
4,bdom,0.73,0.5,600,1.0,3
4,bdom,0.73,0.5,600,1.0,4
4,bdom,0.73,0.5,600,1.0,5
4,bdom,0.73,0.5,600,1.0,6
4,bdom,0.73,0.5,600,1.5,2
4,bdom,0.73,0.5,600,1.5,3
4,bdom,0.73,0.5,600,1.5,4
4,bdom,0.73,0.5,600,1.5,5
4,bdom,0.73,0.5,600,1.5,6
4,bdom,0.73,0.5,600,2.0,2
4,bdom,0.73,0.5,600,2.0,3
4,bdom,0.73,0.5,600,2.0,4
4,bdom,0.73,0.5,600,2.0,5
4,bdom,0.73,0.5,600,2.0,6
4,bdom,0.73,0.5,600,2.5,2
4,bdom,0.73,0.5,600,2.5,3
4,bdom,0.73,0.5,600,2.5,4
4,bdom,0.73,0.5,600,2.5,5
4,bdom,0.73,0.5,600,2.5,6
4,bdom,0.73,0.5,600,3.0,2
4,bdom,0.73,0.5,600,3.0,3
4,bdom,0.73,0.5,600,3.0,4
4,bdom,0.73,0.5,600,3.0,5
4,bdom,0.73,0.5,600,3.0,6
4,bdom,0.73,0.5,600,3.5,2
4,bdom,0.73,0.5,600,3.5,3
4,bdom,0.73,0.5,600,3.5,4
4,bdom,0.73,0.5,600,3.5,5
4,bdom,0.73,0.5,600,3.5,6
4,bdom,0.73,0.5,600,4.0,2
4,bdom,0.73,0.5,600,4.0,3
4,bdom,0.73,0.5,600,4.0,4
4,bdom,0.73,0.5,600,4.0,5
4,bdom,0.73,0.5,600,4.0,6
4,bdom,0.73,0.5,600,4.5,2
4,bdom,0.73,0.5,600,4.5,3
4,bdom,0.73,0.5,600,4.5,4
4,bdom,0.73,0.5,600,4.5,5
4,bdom,0.73,0.5,600,4.5,6
4,bdom,0.73,0.5,1100,0.5,2
4,bdom,0.73,0.5,1100,0.5,3
4,bdom,0.73,0.5,1100,0.5,4
4,bdom,0.73,0.5,1100,0.5,5
4,bdom,0.73,0.5,1100,0.5,6
4,bdom,0.73,0.5,1100,1.0,2
4,bdom,0.73,0.5,1100,1.0,3
4,bdom,0.73,0.5,1100,1.0,4
4,bdom,0.73,0.5,1100,1.0,5
4,bdom,0.73,0.5,1100,1.0,6
4,bdom,0.73,0.5,1100,1.5,2
4,bdom,0.73,0.5,1100,1.5,3
4,bdom,0.73,0.5,1100,1.5,4
4,bdom,0.73,0.5,1100,1.5,5
4,bdom,0.73,0.5,1100,1.5,6
